Sr. No.,Timestamp,Year,Undergrad Field,Nationality,Area
1,2/8/2019 17:16:07,2013,Electrical,Chinese,Cambridge
2,2/8/2019 17:55:50,2018,Computer Science /  Engineering,Chinese,Fenway/Kenmore
3,2/8/2019 17:55:57,2016,Electronics,Indian,Fenway/Kenmore
4,2/8/2019 17:56:26,2013,Computer Science /  Engineering,Indian,Fenway/Kenmore
5,2/8/2019 17:56:32,2015,Computer Science /  Engineering,Indian,Mission Hill
6,2/8/2019 17:56:33,2014,Computer Science /  Engineering,Indian,Mission Hill
7,2/8/2019 17:56:52,2016,Information Tech. (IT),Indian,Mission Hill
8,2/8/2019 17:57:29,2015,Electronics,Indian,Fenway/Kenmore
9,2/8/2019 18:00:18,2016,Information Tech. (IT),Indian,Fenway/Kenmore
10,2/8/2019 18:00:37,2013,Information Tech. (IT),Indian,Mission Hill
11,2/8/2019 18:01:44,2014,Mechanical Engineering,Indian,Mission Hill
12,2/8/2019 18:02:14,2014,Computer Science /  Engineering,Indian,Other
13,2/8/2019 18:20:29,2015,Computer Science /  Engineering,Indian,Roxbury
14,2/8/2019 18:21:33,2016,Electronics,Indian,Other
15,2/8/2019 18:22:28,2016,Computer Science /  Engineering,Indian,Fenway/Kenmore
16,2/8/2019 18:42:36,2017,Electronics,Indian,Fenway/Kenmore
17,2/8/2019 20:12:09,2015,Electronics,Indian,Mission Hill
18,2/8/2019 20:13:19,2014,Electronics,Indian,Mission Hill
19,2/8/2019 21:31:57,2018,Computer Science /  Engineering,Chinese,Other
20,2/8/2019 21:37:54,2018,Computer Science /  Engineering,Chinese,Downtown
21,2/9/2019 0:15:26,2017,Electronics,Indian,Fenway/Kenmore
22,2/9/2019 0:15:30,2012,Computer Science /  Engineering,Chinese,Downtown
23,2/9/2019 0:15:55,2012,Computer Science /  Engineering,Chinese,Downtown
24,2/9/2019 0:15:57,2012,Computer Science /  Engineering,Chinese,Downtown
25,2/9/2019 0:16:27,2013,Information Tech. (IT),Indian,Fenway/Kenmore
26,2/9/2019 8:32:16,2017,Computer Science /  Engineering,Indian,Jamaica Plain
27,2/9/2019 8:54:46,2013,Electronics,Indian,Roxbury
28,2/9/2019 9:05:16,2016,Computer Science /  Engineering,Indian,Mission Hill
29,2/9/2019 9:05:33,2012,Information Tech. (IT),Indian,Other
30,2/9/2019 9:05:35,2013,Information Tech. (IT),Indian,Mission Hill
31,2/9/2019 9:06:21,2017,Information Tech. (IT),Indian,Downtown
,2/9/2019 9:16:33,2017,Information Tech. (IT),Indian,Mission Hill
